,Unnamed: 0,start station id,start station name,start station latitude,start station longitude,covid_cases,trip count,tripduration_sum(mins),tripduration_mean(mins),usertype_member_count,geometry
1700,1700,4953.04,South St & Gouverneur Ln,40.70364662336214,-74.00680818171172,0.015608731449532289,0.0010449697319112137,5396.0655,5396.0655,194.0,POINT (-74.00680818171172 40.70364662336214)
1701,1701,4954.07,Madison St & Woodward Ave,40.70408,-73.90408,0.1712301588410032,0.042299253707440504,181157.0837,44362.6771,6920.0,POINT (-73.90407999999999 40.70408)
1702,1702,4956.02,Humboldt St & Varet St,40.703172,-73.940636,0.06586303631891731,0.06483616796387048,233761.1335,35794.7939,10763.0,POINT (-73.940636 40.703172)
1703,1703,4962.01,Broadway & Battery Pl,40.704633,-74.013617,0.22983949062502068,0.2868822267063835,1619059.8489,109033.2584,46046.0,POINT (-74.013617 40.704633)
1704,1704,4962.02,Whitehall St & Bridge St,40.70366170524135,-74.0131813287735,0.021290975860147048,0.007354825277857853,40809.3171,8393.3893,1153.0,POINT (-74.0131813287735 40.70366170524135)
1705,1705,4962.04,Water - Whitehall Plaza,40.70255,-74.012723,0.003085939725209019,0.010681912815092405,60101.049900000005,5143.5861,1764.0,POINT (-74.01272299999999 40.70255)
1706,1706,4962.08,Broad St & Bridge St,40.703651,-74.011677,0.19106975154420572,0.1569776752826623,794713.5334,78884.0935,27306.0,POINT (-74.01167700000001 40.703651)
1707,1707,4963.13,Menahan St & Seneca Ave,40.70461,-73.91054,0.1144779052441384,0.02489910637071202,89693.0832,26870.6652,4070.0,POINT (-73.91054 40.70461)
1708,1708,4965.01,Lorimer St & Broadway,40.704117,-73.948185,0.05951377151312339,0.049433874635661894,174933.1006,31126.6212,8534.0,POINT (-73.948185 40.704117)
1709,1709,4968.03,Bridge St & Water St,40.702969,-73.98469,0.17589834224664944,0.10434883571954774,470069.1493,61867.3063,19212.0,POINT (-73.98469 40.702969)
1710,1710,4971.01,Hart St & Wyckoff Ave,40.704876,-73.919911,0.10598021293236812,0.0374067134300631,139273.283,29436.2899,5644.0,POINT (-73.919911 40.704876)
1711,1711,4979.07,Knickerbocker Ave & George St,40.704425,-73.92836,0.1430048348976239,0.08165978027609623,327480.2672,43333.0865,13076.0,POINT (-73.92836 40.704425)
