Name_链接,Name,DateModified,Size,Type
https://s3.amazonaws.com/hubway-data/202111-bluebikes-tripdata.zip,202111-bluebikes-tripdata.zip,"Dec 10th 2021, 03:21:23 pm",10.26 MB,ZIP file
https://s3.amazonaws.com/hubway-data/202112-bluebikes-tripdata.zip,202112-bluebikes-tripdata.zip,"Jan 6th 2022, 04:45:51 pm",5.79 MB,ZIP file
https://s3.amazonaws.com/hubway-data/202201-bluebikes-tripdata.zip,202201-bluebikes-tripdata.zip,"Feb 2nd 2022, 05:02:56 pm",3.28 MB,ZIP file
https://s3.amazonaws.com/hubway-data/202202-bluebikes-tripdata.zip,202202-bluebikes-tripdata.zip,"Mar 2nd 2022, 09:27:48 pm",4.42 MB,ZIP file
https://s3.amazonaws.com/hubway-data/202203-bluebikes-tripdata.zip,202203-bluebikes-tripdata.zip,"Apr 6th 2022, 06:20:48 pm",7.48 MB,ZIP file
https://s3.amazonaws.com/hubway-data/202204-bluebikes-tripdata.zip,202204-bluebikes-tripdata.zip,"May 3rd 2022, 05:40:48 pm",11.33 MB,ZIP file
https://s3.amazonaws.com/hubway-data/202205-bluebikes-tripdata.zip,202205-bluebikes-tripdata.zip,"Jun 4th 2022, 03:21:03 am",14.86 MB,ZIP file
https://s3.amazonaws.com/hubway-data/202206-bluebikes-tripdata.zip,202206-bluebikes-tripdata.zip,"Jul 15th 2022, 04:19:44 pm",16.67 MB,ZIP file
https://s3.amazonaws.com/hubway-data/202207-bluebikes-tripdata.zip,202207-bluebikes-tripdata.zip,"Aug 8th 2022, 04:06:33 pm",18.38 MB,ZIP file
https://s3.amazonaws.com/hubway-data/202208-bluebikes-tripdata.zip,202208-bluebikes-tripdata.zip,"Sep 9th 2022, 05:00:51 pm",20.75 MB,ZIP file
https://s3.amazonaws.com/hubway-data/202209-bluebikes-tripdata.zip,202209-bluebikes-tripdata.zip,"Oct 6th 2022, 09:55:33 pm",25.32 MB,ZIP file
https://s3.amazonaws.com/hubway-data/202210-bluebikes-tripdata.zip,202210-bluebikes-tripdata.zip,"Nov 8th 2022, 10:18:33 pm",17.61 MB,ZIP file
https://s3.amazonaws.com/hubway-data/202211-bluebikes-tripdata.zip,202211-bluebikes-tripdata.zip,"Dec 5th 2022, 08:54:12 pm",12.15 MB,ZIP file
https://s3.amazonaws.com/hubway-data/202212-bluebikes-tripdata.zip,202212-bluebikes-tripdata.zip,"Jan 9th 2023, 04:12:12 pm",5.95 MB,ZIP file
https://s3.amazonaws.com/hubway-data/202301-bluebikes-tripdata.zip,202301-bluebikes-tripdata.zip,"Feb 9th 2023, 04:16:10 pm",5.84 MB,ZIP file
https://s3.amazonaws.com/hubway-data/Hubway_Stations_2011_2016.csv,Hubway_Stations_2011_2016.csv,"Feb 20th 2017, 10:42:37 pm",13 KB,CSV file
https://s3.amazonaws.com/hubway-data/Hubway_Stations_as_of_July_2017.csv,Hubway_Stations_as_of_July_2017.csv,"Nov 6th 2019, 04:07:00 am",32 KB,CSV file
https://s3.amazonaws.com/hubway-data/current_bluebikes_stations.csv,current_bluebikes_stations.csv,"Feb 8th 2023, 02:38:29 pm",35 KB,CSV file
https://s3.amazonaws.com/hubway-data/hubway_Trips_2011.csv,hubway_Trips_2011.csv,"Jun 2nd 2016, 06:02:09 pm",19.34 MB,CSV file
https://s3.amazonaws.com/hubway-data/hubway_Trips_2012.csv,hubway_Trips_2012.csv,"Jun 2nd 2016, 06:02:16 pm",74.39 MB,CSV file
https://s3.amazonaws.com/hubway-data/hubway_Trips_2013.csv,hubway_Trips_2013.csv,"Jun 2nd 2016, 06:02:40 pm",131.77 MB,CSV file
https://s3.amazonaws.com/hubway-data/hubway_Trips_2014_1.csv,hubway_Trips_2014_1.csv,"Jun 2nd 2016, 06:03:15 pm",60.35 MB,CSV file
https://s3.amazonaws.com/hubway-data/hubway_Trips_2014_2.csv,hubway_Trips_2014_2.csv,"Jun 2nd 2016, 06:03:30 pm",111.56 MB,CSV file
https://s3.amazonaws.com/hubway-data/index.html,index.html,"May 26th 2016, 02:27:02 pm",6 KB,HTML file
https://s3.amazonaws.com/hubway-data/previous_Hubway_Stations_as_of_July_2017.csv,previous_Hubway_Stations_as_of_July_2017.csv,"Oct 30th 2019, 09:03:06 pm",20 KB,CSV file
