Name_链接,Name,DateModified,Size,Type,字段1_链接
https://s3.amazonaws.com/tripdata/202008-citibike-tripdata.csv.zip,202008-citibike-tripdata.csv.zip,"Sep 4th 2020, 08:37:28 pm",104.26 MB,ZIP file,https://s3.amazonaws.com/tripdata/202008-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/202009-citibike-tripdata.csv.zip,202009-citibike-tripdata.csv.zip,"Oct 13th 2020, 08:55:55 pm",111.93 MB,ZIP file,https://s3.amazonaws.com/tripdata/202009-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/202010-citibike-tripdata.csv.zip,202010-citibike-tripdata.csv.zip,"Nov 4th 2020, 02:51:10 pm",101.84 MB,ZIP file,https://s3.amazonaws.com/tripdata/202010-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/202011-citibike-tripdata.csv.zip,202011-citibike-tripdata.csv.zip,"Dec 4th 2020, 11:26:03 pm",78.69 MB,ZIP file,https://s3.amazonaws.com/tripdata/202011-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/202012-citibike-tripdata.csv.zip,202012-citibike-tripdata.csv.zip,"Jan 5th 2021, 02:25:44 pm",49.55 MB,ZIP file,https://s3.amazonaws.com/tripdata/202012-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/202101-citibike-tripdata.csv.zip,202101-citibike-tripdata.csv.zip,"Feb 8th 2021, 03:11:26 pm",50.12 MB,ZIP file,https://s3.amazonaws.com/tripdata/202101-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/202102-citibike-tripdata.csv.zip,202102-citibike-tripdata.csv.zip,"Jun 11th 2021, 06:23:12 pm",21.18 MB,ZIP file,https://s3.amazonaws.com/tripdata/202102-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/202103-citibike-tripdata.csv.zip,202103-citibike-tripdata.csv.zip,"Jun 11th 2021, 06:23:12 pm",50.54 MB,ZIP file,https://s3.amazonaws.com/tripdata/202103-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/202104-citibike-tripdata.csv.zip,202104-citibike-tripdata.csv.zip,"Jun 11th 2021, 06:23:12 pm",64.78 MB,ZIP file,https://s3.amazonaws.com/tripdata/202104-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/202105-citibike-tripdata.csv.zip,202105-citibike-tripdata.csv.zip,"Jun 11th 2021, 06:23:12 pm",79.39 MB,ZIP file,https://s3.amazonaws.com/tripdata/202105-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/202106-citibike-tripdata.csv.zip,202106-citibike-tripdata.csv.zip,"Apr 7th 2022, 08:18:06 pm",108.53 MB,ZIP file,https://s3.amazonaws.com/tripdata/202106-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/202107-citibike-tripdata.csv.zip,202107-citibike-tripdata.csv.zip,"Apr 7th 2022, 08:18:06 pm",98.87 MB,ZIP file,https://s3.amazonaws.com/tripdata/202107-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/202108-citibike-tripdata.csv.zip,202108-citibike-tripdata.csv.zip,"Apr 7th 2022, 08:18:06 pm",108.25 MB,ZIP file,https://s3.amazonaws.com/tripdata/202108-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/202109-citibike-tripdata.csv.zip,202109-citibike-tripdata.csv.zip,"Apr 7th 2022, 08:18:06 pm",110.52 MB,ZIP file,https://s3.amazonaws.com/tripdata/202109-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/202110-citibike-tripdata.csv.zip,202110-citibike-tripdata.csv.zip,"Apr 7th 2022, 08:18:06 pm",96.57 MB,ZIP file,https://s3.amazonaws.com/tripdata/202110-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/202111-citibike-tripdata.csv.zip,202111-citibike-tripdata.csv.zip,"Apr 7th 2022, 08:18:06 pm",71.04 MB,ZIP file,https://s3.amazonaws.com/tripdata/202111-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/202112-citibike-tripdata.csv.zip,202112-citibike-tripdata.csv.zip,"Apr 7th 2022, 08:18:06 pm",58.64 MB,ZIP file,https://s3.amazonaws.com/tripdata/202112-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/202201-citibike-tripdata.csv.zip,202201-citibike-tripdata.csv.zip,"Apr 7th 2022, 08:18:06 pm",35.60 MB,ZIP file,https://s3.amazonaws.com/tripdata/202201-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/202202-citibike-tripdata.csv.zip,202202-citibike-tripdata.csv.zip,"Apr 7th 2022, 08:18:06 pm",43.43 MB,ZIP file,https://s3.amazonaws.com/tripdata/202202-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/202203-citibike-tripdata.csv.zip,202203-citibike-tripdata.csv.zip,"Apr 6th 2022, 06:18:44 pm",66.43 MB,ZIP file,https://s3.amazonaws.com/tripdata/202203-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/202204-citibike-tripdata.csv.zip,202204-citibike-tripdata.csv.zip,"May 3rd 2022, 05:38:32 pm",80.67 MB,ZIP file,https://s3.amazonaws.com/tripdata/202204-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/202205-citibike-tripdata.csv.zip,202205-citibike-tripdata.csv.zip,"Jun 4th 2022, 03:14:47 am",102.49 MB,ZIP file,https://s3.amazonaws.com/tripdata/202205-citibike-tripdata.csv.zip
https://s3.amazonaws.com/tripdata/202206-citbike-tripdata.csv.zip,202206-citbike-tripdata.csv.zip,"Jul 15th 2022, 04:33:07 pm",122.30 MB,ZIP file,https://s3.amazonaws.com/tripdata/202206-citbike-tripdata.csv.zip
